Date,AMZN_Adjusted Close,AMZN_EMA,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Effective_Fed_Rate,AMZN_MACD,AMZN_MACD_Signal,AMZN_MACD_Hist,AMZN_RSI,AMZN_SMA,AAPL_Adjusted Close,AAPL_EMA,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Effective_Fed_Rate,AAPL_MACD,AAPL_MACD_Signal,AAPL_MACD_Hist,AAPL_RSI,AAPL_SMA,MSFT_Adjusted Close,MSFT_EMA,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Effective_Fed_Rate,MSFT_MACD,MSFT_MACD_Signal,MSFT_MACD_Hist,MSFT_RSI,MSFT_SMA
2025-03-12,198.89,203.735,1.09111,1.09314,1.08754,1.08857,4.33,-8.0875,-6.2886,-1.7989,37.6121,203.9372,216.98,232.3581,1.09111,1.09314,1.08754,1.08857,4.33,-2.3083,-0.0907,-2.2177,26.2255,234.03,383.27,389.9404,1.09111,1.09314,1.08754,1.08857,4.33,-8.9933,-7.7944,-1.1988,36.3044,389.987
2025-03-11,196.59,204.405,1.08345,1.09472,1.08305,1.0911,4.33,-8.2563,-5.8388,-2.4174,25.796,205.3592,220.84,235.0732,1.08345,1.09472,1.08305,1.0911,4.33,-1.1558,0.4638,-1.6196,29.3418,236.449,380.45,391.4938,1.08345,1.09472,1.08305,1.0911,4.33,-8.8357,-7.4947,-1.341,31.3859,391.493
2025-03-10,194.54,206.7394,1.08392,1.08747,1.08048,1.0834,4.33,-7.6573,-5.2345,-2.4228,26.9407,207.1322,227.48,237.5772,1.08392,1.08747,1.08048,1.0834,4.33,-0.0411,0.8687,-0.9097,44.6209,238.8685,380.16,394.2702,1.08392,1.08747,1.08048,1.0834,4.33,-8.1039,-7.1595,-0.9444,35.6798,393.703
2025-03-07,199.25,209.2149,1.0782,1.08888,1.07768,1.083,4.33,-6.9544,-4.6288,-2.3256,29.6503,209.3172,239.07,238.0299,1.0782,1.08888,1.07768,1.083,4.33,0.1874,1.0961,-0.9086,43.6418,239.807,393.31,396.1435,1.0782,1.08888,1.07768,1.083,4.33,-7.7484,-6.9234,-0.825,40.3914,395.97
2025-03-06,200.7,211.3759,1.07864,1.08537,1.07655,1.07818,4.33,-6.3522,-4.0474,-2.3049,33.4751,211.6962,235.33,238.6799,1.07864,1.08537,1.07655,1.07818,4.33,0.5207,1.3233,-0.8025,42.2259,240.8915,396.89,396.9932,1.07864,1.08537,1.07655,1.07818,4.33,-7.8417,-6.7171,-1.1246,41.8975,398.4715
2025-03-05,208.36,212.9262,1.06249,1.07968,1.06017,1.07875,4.33,-5.9912,-3.4712,-2.52,33.7947,213.7337,235.74,239.6232,1.06249,1.07968,1.06017,1.07875,4.33,1.0067,1.5239,-0.5172,43.6778,241.942,401.02,397.5962,1.06249,1.07968,1.06017,1.07875,4.33,-8.0463,-6.4359,-1.6104,36.5289,400.5725
2025-03-04,203.8,214.732,1.04849,1.06275,1.04708,1.06253,4.33,-5.4839,-2.8412,-2.6427,26.3766,215.8057,235.93,240.5573,1.04849,1.06275,1.04708,1.06253,4.33,1.5121,1.6532,-0.1411,47.0558,242.866,388.61,399.4309,1.04849,1.06275,1.04708,1.06253,4.33,-7.6875,-6.0333,-1.6542,29.4772,402.3453
2025-03-03,205.02,217.9813,1.04027,1.05036,1.03883,1.04857,4.33,-4.2792,-2.1805,-2.0987,36.876,218.6767,238.03,241.1911,1.04027,1.05036,1.03883,1.04857,4.33,1.9025,1.6885,0.214,53.7436,243.5105,388.49,402.9933,1.04027,1.05036,1.03883,1.04857,4.33,-6.5129,-5.6198,-0.8931,39.8111,404.7241
2025-02-28,212.28,219.01,1.03966,1.042,1.03596,1.03747,4.33,-4.0275,-1.6558,-2.3717,27.6757,220.2615,241.84,241.0581,1.03966,1.042,1.03596,1.03747,4.33,1.9572,1.635,0.3222,45.4811,243.4565,396.99,403.9207,1.03966,1.042,1.03596,1.03747,4.33,-6.4889,-5.3965,-1.0924,31.1226,405.5399
2025-02-27,208.74,221.3123,1.04834,1.04924,1.03965,1.03973,4.33,-3.169,-1.0629,-2.1061,37.9435,222.2815,237.3,241.971,1.04834,1.04924,1.03965,1.03973,4.33,2.4913,1.5544,0.9369,49.528,243.4525,392.53,406.4241,1.04834,1.04924,1.03965,1.03973,4.33,-5.7363,-5.1234,-0.6129,38.0213,406.8934
