Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2025-03-12,216.98,232.3581,1.09111,1.09314,1.08754,1.08857,4.33,-2.3083,-0.0907,-2.2177,26.2255,234.03
2025-03-11,220.84,235.0732,1.08345,1.09472,1.08305,1.0911,4.33,-1.1558,0.4638,-1.6196,29.3418,236.449
2025-03-10,227.48,237.5772,1.08392,1.08747,1.08048,1.0834,4.33,-0.0411,0.8687,-0.9097,44.6209,238.8685
2025-03-07,239.07,238.0299,1.0782,1.08888,1.07768,1.083,4.33,0.1874,1.0961,-0.9086,43.6418,239.807
2025-03-06,235.33,238.6799,1.07864,1.08537,1.07655,1.07818,4.33,0.5207,1.3233,-0.8025,42.2259,240.8915
2025-03-05,235.74,239.6232,1.06249,1.07968,1.06017,1.07875,4.33,1.0067,1.5239,-0.5172,43.6778,241.942
2025-03-04,235.93,240.5573,1.04849,1.06275,1.04708,1.06253,4.33,1.5121,1.6532,-0.1411,47.0558,242.866
2025-03-03,238.03,241.1911,1.04027,1.05036,1.03883,1.04857,4.33,1.9025,1.6885,0.214,53.7436,243.5105
2025-02-28,241.84,241.0581,1.03966,1.042,1.03596,1.03747,4.33,1.9572,1.635,0.3222,45.4811,243.4565
2025-02-27,237.3,241.971,1.04834,1.04924,1.03965,1.03973,4.33,2.4913,1.5544,0.9369,49.528,243.4525
2025-02-26,240.36,242.5401,1.05124,1.05289,1.04747,1.04836,4.33,2.8864,1.3202,1.5662,58.9734,242.6315
2025-02-25,247.04,242.1423,1.04664,1.05193,1.04559,1.05121,4.33,2.8476,0.9286,1.919,67.6323,241.0185
2025-02-24,247.1,240.8406,1.04768,1.05283,1.04524,1.04671,4.33,2.3831,0.4489,1.9343,63.6023,239.1755
2025-02-21,245.55,239.9329,1.05001,1.05054,1.0449,1.04559,4.33,2.0687,-0.0347,2.1034,66.0702,237.9175
2025-02-20,245.83,238.5958,1.04217,1.05034,1.04183,1.05002,4.33,1.5329,-0.5605,2.0934,64.8611,236.4256
2025-02-19,244.87,237.186,1.0445,1.04613,1.04004,1.04222,4.33,0.9296,-1.0839,2.0134,64.5458,234.7595
2025-02-18,244.47,235.5251,1.04833,1.04863,1.04348,1.04459,4.33,0.1745,-1.5872,1.7617,64.0166,232.9936
2025-02-14,244.6,233.6085,1.04625,1.05141,1.04469,1.04913,4.33,-0.7399,-2.0277,1.2878,61.0407,231.5524
2025-02-13,241.53,231.9104,1.03818,1.0467,1.03726,1.04641,4.33,-1.6009,-2.3496,0.7487,56.1569,232.1193
2025-02-12,236.87,230.7993,1.03605,1.04299,1.03168,1.03824,4.33,-2.2348,-2.5368,0.302,48.5148,232.2686
2025-02-11,232.62,230.7103,1.03062,1.03815,1.02917,1.03604,4.33,-2.4299,-2.6123,0.1824,43.8901,232.5349
2025-02-10,227.65,231.2681,1.02886,1.03365,1.02808,1.03063,4.33,-2.3381,-2.6579,0.3198,45.5725,232.7746
2025-02-07,227.380296182536,231.6455,1.03821,1.04124,1.03048,1.0326,4.33,-2.3264,-2.7378,0.4114,48.9963,232.195
2025-02-06,232.964164107064,231.4901,1.04019,1.04058,1.03521,1.03828,4.33,-2.5603,-2.8407,0.2804,47.3098,231.4139
2025-02-05,232.214986836332,231.592,1.0378,1.04425,1.03693,1.04021,4.33,-2.6877,-2.9108,0.2231,43.8062,230.7601
2025-02-04,232.544624835454,232.3282,1.03427,1.03876,1.0272,1.03783,4.33,-2.5311,-2.9666,0.4355,42.1991,229.887
2025-02-03,227.759879333041,233.5121,1.0232,1.03499,1.02103,1.0343,4.33,-2.1642,-3.0754,0.9113,44.6598,229.5624
2025-01-31,235.741114523914,234.3508,1.03879,1.0434,1.03496,1.03602,4.33,-1.9431,-3.3033,1.3602,66.6004,229.7747
2025-01-30,237.329370337867,231.5579,1.04203,1.04679,1.03859,1.03875,4.33,-3.3819,-3.6433,0.2614,57.2267,228.7917
2025-01-29,239.097428696797,230.0368,1.04296,1.04436,1.03821,1.04207,4.33,-4.3022,-3.7087,-0.5935,50.5702,228.3892
2025-01-28,237.998635366389,229.1864,1.04912,1.04932,1.04135,1.04298,4.33,-4.952,-3.5603,-1.3917,45.0311,228.4521
2025-01-27,229.607849934182,228.873,1.0479,1.05334,1.04536,1.04916,4.33,-5.3767,-3.2123,-2.1644,30.3615,228.7198
2025-01-24,222.535616498464,230.0061,1.04147,1.05214,1.04112,1.04919,4.33,-5.146,-2.6713,-2.4747,31.1952,230.3171
2025-01-23,223.414651162791,231.2222,1.0408,1.0438,1.03717,1.04148,4.33,-4.8539,-2.0526,-2.8014,31.1056,232.0292
2025-01-22,223.58446467749,232.7175,1.04285,1.04573,1.03918,1.04077,4.33,-4.4065,-1.3522,-3.0543,19.4162,233.8512
2025-01-21,222.395770074594,235.6439,1.04156,1.04353,1.03419,1.04283,4.33,-3.2679,-0.5887,-2.6792,22.3142,236.3005
2025-01-17,229.727718297499,238.286,1.02965,1.03306,1.0265,1.0271,4.33,-2.1952,0.0811,-2.2763,30.1112,238.2344
2025-01-16,228.009605089952,239.7139,1.0288,1.03151,1.02604,1.0299,4.33,-1.6195,0.6502,-2.2697,37.7743,239.914
2025-01-15,237.609063185608,240.2971,1.03074,1.03544,1.02588,1.02861,4.33,-1.3936,1.2177,-2.6112,29.3862,241.4214
2025-01-14,233.024098288723,241.6126,1.02407,1.03086,1.02382,1.03076,4.33,-0.8088,1.8705,-2.6793,29.538,243.1789
2025-01-13,234.142869679684,243.1948,1.02402,1.025,1.01772,1.02441,4.33,-0.0624,2.5403,-2.6027,25.8826,245.4844
2025-01-10,236.590182097411,245.3995,1.0299,1.03118,1.02124,1.0244,4.33,1.0153,3.191,-2.1756,34.4179,247.9477
2025-01-08,242.433764809127,246.6556,1.03398,1.03575,1.02728,1.03178,4.33,1.717,3.7349,-2.0178,37.7174,249.494
2025-01-07,241.944302325581,247.767,1.03884,1.04344,1.0339,1.03394,4.33,2.3934,4.2393,-1.8459,39.6142,250.7776
2025-01-06,244.731241772707,248.89,1.0302,1.04368,1.0294,1.03898,4.33,3.1142,4.7008,-1.5866,41.9994,251.283
2025-01-03,243.093040807372,249.9673,1.0264,1.031,1.02524,1.03066,4.33,3.8535,5.0975,-1.244,39.664,251.6017
2025-01-02,243.582503290917,251.4949,1.03544,1.03756,1.02238,1.02619,4.33,4.8377,5.4084,-0.5707,50.3653,252.4807
2024-12-31,250.145296182536,252.1256,1.04054,1.04244,1.03438,1.03522,4.33,5.4571,5.5511,-0.094,59.4641,252.5956
2024-12-30,251.923343571742,252.1172,1.04275,1.04584,1.03714,1.04068,4.33,5.8113,5.5746,0.2367,59.0659,252.1511
2024-12-27,255.309624835454,252.1537,1.04184,1.04441,1.04047,1.04239,4.33,6.2002,5.5154,0.6847,77.2871,251.7101
2024-12-26,258.735862220272,250.9551,1.0403,1.04301,1.03901,1.0422,4.33,6.0368,5.3443,0.6925,78.6916,250.6173
2024-12-24,257.916761737604,249.4103,1.04043,1.04099,1.03832,1.0401,4.33,5.7038,5.1711,0.5327,75.7123,249.5954
