Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2025-03-12,198.89,203.735,1.09111,1.09314,1.08754,1.08857,4.33,-8.0875,-6.2886,-1.7989,37.6121,203.9372
2025-03-11,196.59,204.405,1.08345,1.09472,1.08305,1.0911,4.33,-8.2563,-5.8388,-2.4174,25.796,205.3592
2025-03-10,194.54,206.7394,1.08392,1.08747,1.08048,1.0834,4.33,-7.6573,-5.2345,-2.4228,26.9407,207.1322
2025-03-07,199.25,209.2149,1.0782,1.08888,1.07768,1.083,4.33,-6.9544,-4.6288,-2.3256,29.6503,209.3172
2025-03-06,200.7,211.3759,1.07864,1.08537,1.07655,1.07818,4.33,-6.3522,-4.0474,-2.3049,33.4751,211.6962
2025-03-05,208.36,212.9262,1.06249,1.07968,1.06017,1.07875,4.33,-5.9912,-3.4712,-2.52,33.7947,213.7337
2025-03-04,203.8,214.732,1.04849,1.06275,1.04708,1.06253,4.33,-5.4839,-2.8412,-2.6427,26.3766,215.8057
2025-03-03,205.02,217.9813,1.04027,1.05036,1.03883,1.04857,4.33,-4.2792,-2.1805,-2.0987,36.876,218.6767
2025-02-28,212.28,219.01,1.03966,1.042,1.03596,1.03747,4.33,-4.0275,-1.6558,-2.3717,27.6757,220.2615
2025-02-27,208.74,221.3123,1.04834,1.04924,1.03965,1.03973,4.33,-3.169,-1.0629,-2.1061,37.9435,222.2815
2025-02-26,214.35,221.9705,1.05124,1.05289,1.04747,1.04836,4.33,-3.0147,-0.5364,-2.4784,29.6904,223.4925
2025-02-25,212.8,223.5329,1.04664,1.05193,1.04559,1.05121,4.33,-2.4268,0.0832,-2.51,20.4477,225.1905
2025-02-24,212.71,226.178,1.04768,1.05283,1.04524,1.04671,4.33,-1.304,0.7107,-2.0148,25.8187,227.082
2025-02-21,216.58,228.1175,1.05001,1.05054,1.0449,1.04559,4.33,-0.4446,1.2144,-1.659,33.83,228.587
2025-02-20,222.88,229.1925,1.04217,1.05034,1.04183,1.05002,4.33,0.0652,1.6292,-1.564,36.4395,230.06
2025-02-19,226.63,230.1742,1.0445,1.04613,1.04004,1.04222,4.33,0.5627,2.0202,-1.4575,37.7453,231.2845
2025-02-18,226.65,231.2084,1.04833,1.04863,1.04348,1.04459,4.33,1.1137,2.3845,-1.2709,44.0361,232.6335
2025-02-14,228.68,231.7392,1.04625,1.05141,1.04469,1.04913,4.33,1.4648,2.7023,-1.2375,44.8101,233.1575
2025-02-13,230.37,232.3035,1.03818,1.0467,1.03726,1.04641,4.33,1.8528,3.0116,-1.1588,43.9941,233.8875
2025-02-12,228.93,233.0709,1.03605,1.04299,1.03168,1.03824,4.33,2.3568,3.3013,-0.9445,46.8626,234.7165
2025-02-11,232.76,233.6511,1.03062,1.03815,1.02917,1.03604,4.33,2.8019,3.5375,-0.7355,49.4965,235.572
2025-02-10,233.14,234.0358,1.02886,1.03365,1.02808,1.03063,4.33,3.1806,3.7213,-0.5407,46.9702,235.809
2025-02-07,229.15,234.8115,1.03821,1.04124,1.03048,1.0326,4.33,3.7577,3.8565,-0.0988,50.1824,235.3755
2025-02-06,238.83,235.3252,1.04019,1.04058,1.03521,1.03828,4.33,4.2406,3.8812,0.3593,60.7147,235.5755
2025-02-05,236.17,234.7286,1.0378,1.04425,1.03693,1.04021,4.33,4.2342,3.7914,0.4428,59.3345,235.1845
2025-02-04,242.06,234.2194,1.03427,1.03876,1.0272,1.03783,4.33,4.2652,3.6807,0.5845,63.3615,234.6845
2025-02-03,237.42,233.1548,1.0232,1.03499,1.02103,1.0343,4.33,4.0402,3.5346,0.5056,56.7974,233.6735
2025-01-31,237.68,232.9537,1.03879,1.0434,1.03496,1.03602,4.33,4.1982,3.4082,0.7901,61.7015,232.8515
2025-01-30,234.64,232.1656,1.04203,1.04679,1.03859,1.03875,4.33,4.0904,3.2106,0.8798,62.9853,231.6435
2025-01-29,237.07,231.0602,1.04296,1.04436,1.03821,1.04207,4.33,3.8281,2.9907,0.8374,66.6414,230.2125
2025-01-28,238.15,229.2924,1.04912,1.04932,1.04135,1.04298,4.33,3.2468,2.7813,0.4655,61.584,228.355
2025-01-27,235.42,228.1818,1.0479,1.05334,1.04536,1.04916,4.33,2.9387,2.665,0.2737,49.8921,226.732
2025-01-24,234.85,228.62,1.04147,1.05214,1.04112,1.04919,4.33,3.3253,2.5966,0.7287,69.3941,226.257
2025-01-23,235.42,227.3134,1.0408,1.0438,1.03717,1.04148,4.33,2.9264,2.4144,0.512,68.8657,225.1255
2025-01-22,235.01,225.8052,1.04285,1.04573,1.03918,1.04077,4.33,2.4153,2.2864,0.129,66.1284,224.5055
2025-01-21,230.71,224.4242,1.04156,1.04353,1.03419,1.04283,4.33,1.9397,2.2541,-0.3144,61.5668,223.9815
2025-01-17,225.94,223.4295,1.02965,1.03306,1.0265,1.0271,4.33,1.6221,2.3327,-0.7106,56.3817,223.342
2025-01-16,220.66,222.8939,1.0288,1.03151,1.02604,1.0299,4.33,1.5047,2.5104,-1.0057,53.7773,222.961
2025-01-15,223.35,222.5547,1.03074,1.03544,1.02588,1.02861,4.33,1.4776,2.7618,-1.2842,50.8179,222.8155
2025-01-14,217.76,222.4935,1.02407,1.03086,1.02382,1.03076,4.33,1.5834,3.0829,-1.4995,46.154,222.5385
2025-01-13,218.46,222.9499,1.02402,1.025,1.01772,1.02441,4.33,1.9387,3.4577,-1.5191,41.1526,223.0545
