Date,Adjusted Close,EMA,Open,High,Low,Close,Effective_Fed_Rate,MACD,MACD_Signal,MACD_Hist,RSI,SMA
2025-03-12,383.27,389.9404,1.09111,1.09314,1.08754,1.08857,4.33,-8.9933,-7.7944,-1.1988,36.3044,389.987
2025-03-11,380.45,391.4938,1.08345,1.09472,1.08305,1.0911,4.33,-8.8357,-7.4947,-1.341,31.3859,391.493
2025-03-10,380.16,394.2702,1.08392,1.08747,1.08048,1.0834,4.33,-8.1039,-7.1595,-0.9444,35.6798,393.703
2025-03-07,393.31,396.1435,1.0782,1.08888,1.07768,1.083,4.33,-7.7484,-6.9234,-0.825,40.3914,395.97
2025-03-06,396.89,396.9932,1.07864,1.08537,1.07655,1.07818,4.33,-7.8417,-6.7171,-1.1246,41.8975,398.4715
2025-03-05,401.02,397.5962,1.06249,1.07968,1.06017,1.07875,4.33,-8.0463,-6.4359,-1.6104,36.5289,400.5725
2025-03-04,388.61,399.4309,1.04849,1.06275,1.04708,1.06253,4.33,-7.6875,-6.0333,-1.6542,29.4772,402.3453
2025-03-03,388.49,402.9933,1.04027,1.05036,1.03883,1.04857,4.33,-6.5129,-5.6198,-0.8931,39.8111,404.7241
2025-02-28,396.99,403.9207,1.03966,1.042,1.03596,1.03747,4.33,-6.4889,-5.3965,-1.0924,31.1226,405.5399
2025-02-27,392.53,406.4241,1.04834,1.04924,1.03965,1.03973,4.33,-5.7363,-5.1234,-0.6129,38.0213,406.8934
2025-02-26,399.73,407.5706,1.05124,1.05289,1.04747,1.04836,4.33,-5.5688,-4.9702,-0.5986,32.9656,407.4068
2025-02-25,397.9,409.6952,1.04664,1.05193,1.04559,1.05121,4.33,-4.9427,-4.8205,-0.1222,35.4352,408.4883
2025-02-24,404.0,411.6052,1.04768,1.05283,1.04524,1.04671,4.33,-4.3863,-4.79,0.4037,42.2694,409.6669
2025-02-21,408.21,412.2931,1.05001,1.05054,1.0449,1.04559,4.33,-4.3667,-4.8909,0.5242,53.2847,410.381
2025-02-20,416.13,411.1726,1.04217,1.05034,1.04183,1.05002,4.33,-5.1767,-5.022,-0.1548,50.5998,409.9651
2025-02-19,413.944359410975,410.2577,1.0445,1.04613,1.04004,1.04222,4.33,-5.9272,-4.9833,-0.9439,37.6291,409.589
2025-02-18,408.824571181888,410.9665,1.04833,1.04863,1.04348,1.04459,4.33,-5.9616,-4.7473,-1.2143,37.7591,410.0686
2025-02-14,407.616979806216,411.8062,1.04625,1.05141,1.04469,1.04913,4.33,-5.931,-4.4438,-1.4873,37.4186,410.4279
2025-02-13,409.722779643131,412.8791,1.03818,1.0467,1.03726,1.04641,4.33,-5.7844,-4.072,-1.7125,36.2378,411.5446
2025-02-12,408.225765541059,414.3656,1.03605,1.04299,1.03168,1.03824,4.33,-5.4329,-3.6438,-1.789,36.4021,412.7193
2025-02-11,410.620988104375,416.1358,1.03062,1.03815,1.02917,1.03604,4.33,-4.9265,-3.1966,-1.7299,38.2064,416.6594
2025-02-10,411.399435437452,417.7605,1.02886,1.03365,1.02808,1.03063,4.33,-4.4554,-2.7641,-1.6913,41.2915,419.1505
