Date,EMA
2025-03-13,229.3748
2025-03-12,232.3581
2025-03-11,235.0732
2025-03-10,237.5772
2025-03-07,238.0299
2025-03-06,238.6799
2025-03-05,239.6232
2025-03-04,240.5573
2025-03-03,241.1911
2025-02-28,241.0581
2025-02-27,241.971
2025-02-26,242.5401
2025-02-25,242.1423
2025-02-24,240.8406
2025-02-21,239.9329
2025-02-20,238.5958
2025-02-19,237.186
2025-02-18,235.5251
2025-02-14,233.6085
2025-02-13,231.9104
2025-02-12,230.7993
2025-02-11,230.7103
2025-02-10,231.2681
2025-02-07,231.6455
2025-02-06,231.4901
2025-02-05,231.592
2025-02-04,232.3282
2025-02-03,233.5121
2025-01-31,234.3508
2025-01-30,231.5579
2025-01-29,230.0368
2025-01-28,229.1864
2025-01-27,228.873
2025-01-24,230.0061
2025-01-23,231.2222
2025-01-22,232.7175
2025-01-21,235.6439
2025-01-17,238.286
2025-01-16,239.7139
2025-01-15,240.2971
2025-01-14,241.6126
2025-01-13,243.1948
2025-01-10,245.3995
2025-01-08,246.6556
2025-01-07,247.767
2025-01-06,248.89
2025-01-03,249.9673
2025-01-02,251.4949
2024-12-31,252.1256
2024-12-30,252.1172
2024-12-27,252.1537
2024-12-26,250.9551
2024-12-24,249.4103
2024-12-23,248.1215
2024-12-20,246.7062
2024-12-19,246.4703
2024-12-18,246.3018
2024-12-17,245.0614
2024-12-16,244.0071
2024-12-13,243.1825
2024-12-12,242.2135
2024-12-11,241.2344
2024-12-10,239.8003
2024-12-09,238.285
2024-12-06,237.5561
2024-12-05,236.4267
2024-12-04,234.8055
2024-12-03,233.0725
2024-12-02,231.6338
2024-11-29,230.4391
2024-11-27,229.5251
2024-11-26,228.4845
2024-11-25,227.4646
2024-11-22,226.6331
2024-11-21,226.3716
2024-11-20,225.87
2024-11-19,225.4389
2024-11-18,225.1518
2024-11-15,225.1849
2024-11-14,224.97
2024-11-13,225.0138
2024-11-12,225.2914
2024-11-11,225.5109
2024-11-08,225.6793
2024-11-07,225.4035
2024-11-06,225.6861
2024-11-05,226.4783
2024-11-04,227.6272
2024-11-01,229.21
2024-10-31,231.1501
2024-10-30,231.6643
2024-10-29,231.5676
2024-10-28,231.3408
2024-10-25,231.0149
2024-10-24,231.4103
2024-10-23,231.8404
2024-10-22,231.4569
2024-10-21,231.0315
2024-10-18,230.3862
2024-10-17,229.214
2024-10-16,228.391
2024-10-15,227.791
2024-10-14,226.6118
2024-10-11,226.2594
2024-10-10,225.6956
2024-10-09,225.3436
2024-10-08,225.4788
2024-10-07,225.8502
2024-10-04,226.2598
2024-10-03,226.0065
2024-10-02,226.3089
2024-10-01,226.5123
2024-09-30,225.9559
2024-09-27,225.1606
2024-09-26,224.5389
2024-09-25,224.0362
2024-09-24,223.9474
2024-09-23,223.015
2024-09-20,222.1649
2024-09-19,220.5426
2024-09-18,219.6641
2024-09-17,220.2401
2024-09-16,221.3431
2024-09-13,222.5162
2024-09-12,222.3889
2024-09-11,222.4728
2024-09-10,222.807
2024-09-09,223.7776
2024-09-06,224.5426
2024-09-05,224.7836
2024-09-04,225.5937
2024-09-03,226.576
2024-08-30,226.2489
2024-08-29,225.4855
2024-08-28,224.5723
2024-08-27,223.9396
2024-08-26,223.5931
2024-08-23,223.0
2024-08-22,222.5193
2024-08-21,221.4592
2024-08-20,220.4451
2024-08-19,219.372
2024-08-16,218.0715
2024-08-15,216.8811
2024-08-14,215.2754
2024-08-13,214.2065
2024-08-12,213.246
2024-08-09,212.7238
2024-08-08,213.02
2024-08-07,213.1582
2024-08-06,214.7025
2024-08-05,216.9444
2024-08-02,221.0599
2024-08-01,221.6471
2024-07-31,221.2086
2024-07-30,221.3216
2024-07-29,221.9581
2024-07-26,223.2299
2024-07-25,224.3989
2024-07-24,225.7768
2024-07-23,226.338
2024-07-22,226.943
2024-07-19,227.0967
2024-07-18,227.7696
2024-07-17,227.3827
2024-07-16,227.0937
2024-07-15,225.5112
2024-07-12,223.2493
2024-07-11,222.1592
2024-07-10,220.2797
2024-07-09,218.4454
2024-07-08,216.507
2024-07-05,214.3239
2024-07-03,212.8604
2024-07-02,211.4372
2024-07-01,210.5504
2024-06-28,210.3658
2024-06-27,209.3251
2024-06-26,208.2923
2024-06-25,207.7365
2024-06-24,207.5777
2024-06-21,207.7003
2024-06-20,207.2588
2024-06-18,205.9352
2024-06-17,203.5068
2024-06-14,201.4735
2024-06-13,198.8819
2024-06-12,195.5174
2024-06-11,193.0374
2024-06-10,193.0451
2024-06-07,192.3346
2024-06-06,191.9647
2024-06-05,191.2832
2024-06-04,190.5135
2024-06-03,189.7421
2024-05-31,189.1836
2024-05-30,188.8243
2024-05-29,188.5358
2024-05-28,188.4379
2024-05-24,187.8974
2024-05-23,187.8326
2024-05-22,187.275
2024-05-21,186.3089
2024-05-20,185.3883
2024-05-17,184.6541
2024-05-16,183.7157
2024-05-15,182.3562
2024-05-14,181.2615
2024-05-13,180.0122
2024-05-10,178.9448
2024-05-09,177.7587
2024-05-08,176.8825
2024-05-07,175.7474
2024-05-06,174.2273
2024-05-03,172.6119
2024-05-02,169.6884
2024-05-01,169.2416
2024-04-30,169.3436
2024-04-29,168.6387
2024-04-26,167.7685
2024-04-25,167.4767
2024-04-24,167.1986
2024-04-23,167.5189
2024-04-22,168.1737
2024-04-19,168.9374
2024-04-18,169.7171
2024-04-17,170.2675
2024-04-16,170.5908
2024-04-15,170.5126
2024-04-12,169.6186
2024-04-11,168.7692
2024-04-10,169.0404
2024-04-09,169.2702
2024-04-08,169.5732
2024-04-05,169.8704
2024-04-04,170.1099
2024-04-03,170.2478
2024-04-02,170.748
2024-04-01,171.2953
2024-03-28,171.4976
2024-03-27,171.6209
2024-03-26,172.068
2024-03-25,172.7051
2024-03-22,173.3589
2024-03-21,173.8936
2024-03-20,173.3772
2024-03-19,173.0401
2024-03-18,172.9334
2024-03-15,172.5309
2024-03-14,173.0121
2024-03-13,173.2154
2024-03-12,173.4949
2024-03-11,173.7524
2024-03-08,174.1136
2024-03-07,175.4264
2024-03-06,176.9979
2024-03-05,178.4961
2024-03-04,180.3937
2024-03-01,181.5207
2024-02-29,182.1462
2024-02-28,182.5303
2024-02-27,182.7254
2024-02-26,183.2758
2024-02-23,183.6964
2024-02-22,183.5977
2024-02-21,183.8155
2024-02-20,184.4224
2024-02-16,185.1973
2024-02-15,185.7838
2024-02-14,186.4719
2024-02-13,186.9215
2024-02-12,187.3715
2024-02-09,187.3364
2024-02-08,187.2416
2024-02-07,187.0163
2024-02-06,186.4636
2024-02-05,186.6232
2024-02-02,186.5333
2024-02-01,188.2546
2024-01-31,189.4473
2024-01-30,190.2301
2024-01-29,190.3254
2024-01-26,190.2056
2024-01-25,189.5598
2024-01-24,188.5608
2024-01-23,187.2955
2024-01-22,185.8374
2024-01-19,184.6561
2024-01-18,183.8684
2024-01-17,183.6214
2024-01-16,184.3841
2024-01-12,185.1198
2024-01-11,185.1575
2024-01-10,185.0975
2024-01-09,185.5079
2024-01-08,186.1046
2024-01-05,187.2391
2024-01-04,188.6468
2024-01-03,190.332
2024-01-02,191.9343
2023-12-29,193.2456
2023-12-28,193.3571
2023-12-27,193.4404
2023-12-26,193.9068
2023-12-22,194.2293
2023-12-21,194.2767
2023-12-20,194.1315
2023-12-19,193.7772
2023-12-18,193.5077
2023-12-15,193.1937
2023-12-14,192.4919
2023-12-13,191.5258
2023-12-12,190.9924
2023-12-11,190.7844
2023-12-08,190.5235
2023-12-07,189.9639
2023-12-06,189.4058
2023-12-05,188.5426
2023-12-04,188.4241
2023-12-01,188.3302
2023-11-30,188.138
2023-11-29,188.0114
2023-11-28,187.6225
2023-11-27,187.3946
2023-11-24,187.0851
2023-11-22,186.497
2023-11-21,185.6413
2023-11-20,184.613
