,Date,Open,High,Low,Close
0,2025-03-14,1.08515,1.08585,1.08498,1.0857
1,2025-03-13,1.08856,1.08972,1.08222,1.0851
2,2025-03-12,1.09111,1.09314,1.08754,1.08857
3,2025-03-11,1.08345,1.09472,1.08305,1.0911
4,2025-03-10,1.08392,1.08747,1.08048,1.0834
5,2025-03-07,1.0782,1.08888,1.07768,1.083
6,2025-03-06,1.07864,1.08537,1.07655,1.07818
7,2025-03-05,1.06249,1.07968,1.06017,1.07875
8,2025-03-04,1.04849,1.06275,1.04708,1.06253
9,2025-03-03,1.04027,1.05036,1.03883,1.04857
10,2025-02-28,1.03966,1.042,1.03596,1.03747
11,2025-02-27,1.04834,1.04924,1.03965,1.03973
12,2025-02-26,1.05124,1.05289,1.04747,1.04836
13,2025-02-25,1.04664,1.05193,1.04559,1.05121
14,2025-02-24,1.04768,1.05283,1.04524,1.04671
15,2025-02-21,1.05001,1.05054,1.0449,1.04559
16,2025-02-20,1.04217,1.05034,1.04183,1.05002
17,2025-02-19,1.0445,1.04613,1.04004,1.04222
18,2025-02-18,1.04833,1.04863,1.04348,1.04459
19,2025-02-17,1.04858,1.05062,1.04667,1.0484
20,2025-02-14,1.04625,1.05141,1.04469,1.04913
21,2025-02-13,1.03818,1.0467,1.03726,1.04641
22,2025-02-12,1.03605,1.04299,1.03168,1.03824
23,2025-02-11,1.03062,1.03815,1.02917,1.03604
24,2025-02-10,1.02886,1.03365,1.02808,1.03063
25,2025-02-07,1.03821,1.04124,1.03048,1.0326
26,2025-02-06,1.04019,1.04058,1.03521,1.03828
27,2025-02-05,1.0378,1.04425,1.03693,1.04021
28,2025-02-04,1.03427,1.03876,1.0272,1.03783
29,2025-02-03,1.0232,1.03499,1.02103,1.0343
30,2025-01-31,1.03879,1.0434,1.03496,1.03602
31,2025-01-30,1.04203,1.04679,1.03859,1.03875
32,2025-01-29,1.04296,1.04436,1.03821,1.04207
33,2025-01-28,1.04912,1.04932,1.04135,1.04298
34,2025-01-27,1.0479,1.05334,1.04536,1.04916
35,2025-01-24,1.04147,1.05214,1.04112,1.04919
36,2025-01-23,1.0408,1.0438,1.03717,1.04148
37,2025-01-22,1.04285,1.04573,1.03918,1.04077
38,2025-01-21,1.04156,1.04353,1.03419,1.04283
39,2025-01-20,1.02831,1.04342,1.02659,1.04155
40,2025-01-17,1.02965,1.03306,1.0265,1.0271
41,2025-01-16,1.0288,1.03151,1.02604,1.0299
42,2025-01-15,1.03074,1.03544,1.02588,1.02861
43,2025-01-14,1.02407,1.03086,1.02382,1.03076
44,2025-01-13,1.02402,1.025,1.01772,1.02441
