Date,MACD,MACD_Signal,MACD_Hist
2025-03-13,-3.5193,-0.7764,-2.7429
2025-03-12,-2.3083,-0.0907,-2.2177
2025-03-11,-1.1558,0.4638,-1.6196
2025-03-10,-0.0411,0.8687,-0.9097
2025-03-07,0.1874,1.0961,-0.9086
2025-03-06,0.5207,1.3233,-0.8025
2025-03-05,1.0067,1.5239,-0.5172
2025-03-04,1.5121,1.6532,-0.1411
2025-03-03,1.9025,1.6885,0.214
2025-02-28,1.9572,1.635,0.3222
2025-02-27,2.4913,1.5544,0.9369
2025-02-26,2.8864,1.3202,1.5662
2025-02-25,2.8476,0.9286,1.919
2025-02-24,2.3831,0.4489,1.9343
2025-02-21,2.0687,-0.0347,2.1034
2025-02-20,1.5329,-0.5605,2.0934
2025-02-19,0.9296,-1.0839,2.0134
2025-02-18,0.1745,-1.5872,1.7617
2025-02-14,-0.7399,-2.0277,1.2878
2025-02-13,-1.6009,-2.3496,0.7487
2025-02-12,-2.2348,-2.5368,0.302
2025-02-11,-2.4299,-2.6123,0.1824
2025-02-10,-2.3381,-2.6579,0.3198
2025-02-07,-2.3264,-2.7378,0.4114
2025-02-06,-2.5603,-2.8407,0.2804
2025-02-05,-2.6877,-2.9108,0.2231
2025-02-04,-2.5311,-2.9666,0.4355
2025-02-03,-2.1642,-3.0754,0.9113
2025-01-31,-1.9431,-3.3033,1.3602
2025-01-30,-3.3819,-3.6433,0.2614
2025-01-29,-4.3022,-3.7087,-0.5935
2025-01-28,-4.952,-3.5603,-1.3917
2025-01-27,-5.3767,-3.2123,-2.1644
2025-01-24,-5.146,-2.6713,-2.4747
2025-01-23,-4.8539,-2.0526,-2.8014
2025-01-22,-4.4065,-1.3522,-3.0543
2025-01-21,-3.2679,-0.5887,-2.6792
2025-01-17,-2.1952,0.0811,-2.2763
2025-01-16,-1.6195,0.6502,-2.2697
2025-01-15,-1.3936,1.2177,-2.6112
2025-01-14,-0.8088,1.8705,-2.6793
2025-01-13,-0.0624,2.5403,-2.6027
2025-01-10,1.0153,3.191,-2.1756
2025-01-08,1.717,3.7349,-2.0178
2025-01-07,2.3934,4.2393,-1.8459
2025-01-06,3.1142,4.7008,-1.5866
2025-01-03,3.8535,5.0975,-1.244
2025-01-02,4.8377,5.4084,-0.5707
2024-12-31,5.4571,5.5511,-0.094
2024-12-30,5.8113,5.5746,0.2367
2024-12-27,6.2002,5.5154,0.6847
2024-12-26,6.0368,5.3443,0.6925
2024-12-24,5.7038,5.1711,0.5327
2024-12-23,5.4705,5.038,0.4326
2024-12-20,5.1664,4.9298,0.2366
2024-12-19,5.3875,4.8707,0.5168
2024-12-18,5.6463,4.7415,0.9049
2024-12-17,5.4206,4.5152,0.9053
2024-12-16,5.2651,4.2889,0.9762
2024-12-13,5.2027,4.0448,1.1579
2024-12-12,5.0652,3.7554,1.3098
2024-12-11,4.9101,3.4279,1.4822
2024-12-10,4.5318,3.0574,1.4745
2024-12-09,4.092,2.6888,1.4032
2024-12-06,3.9856,2.338,1.6477
2024-12-05,3.6826,1.9261,1.7566
2024-12-04,3.1319,1.4869,1.645
2024-12-03,2.4974,1.0757,1.4217
2024-12-02,1.9624,0.7202,1.2422
2024-11-29,1.5094,0.4097,1.0997
2024-11-27,1.1594,0.1347,1.0247
2024-11-26,0.7309,-0.1214,0.8523
2024-11-25,0.2888,-0.3345,0.6233
2024-11-22,-0.0895,-0.4903,0.4008
2024-11-21,-0.2252,-0.5905,0.3653
2024-11-20,-0.4786,-0.6819,0.2032
2024-11-19,-0.7117,-0.7327,0.021
2024-11-18,-0.8889,-0.7379,-0.151
2024-11-15,-0.9263,-0.7001,-0.2261
2024-11-14,-1.0775,-0.6436,-0.4339
2024-11-13,-1.1144,-0.5351,-0.5792
2024-11-12,-1.0426,-0.3903,-0.6523
2024-11-11,-0.9907,-0.2273,-0.7634
2024-11-08,-0.9558,-0.0364,-0.9194
2024-11-07,-1.1181,0.1934,-1.3116
2024-11-06,-1.0251,0.5213,-1.5464
2024-11-05,-0.6866,0.9079,-1.5946
2024-11-04,-0.1619,1.3066,-1.4684
2024-11-01,0.5921,1.6737,-1.0816
2024-10-31,1.5483,1.9441,-0.3958
2024-10-30,1.8954,2.0431,-0.1477
2024-10-29,1.9786,2.08,-0.1014
2024-10-28,2.0063,2.1053,-0.099
2024-10-25,1.9901,2.1301,-0.14
2024-10-24,2.3042,2.1651,0.1391
2024-10-23,2.6471,2.1303,0.5168
2024-10-22,2.6299,2.0011,0.6288
2024-10-21,2.5894,1.8439,0.7455
2024-10-18,2.4426,1.6575,0.7851
2024-10-17,2.044,1.4612,0.5828
2024-10-16,1.785,1.3155,0.4694
2024-10-15,1.6142,1.1982,0.416
2024-10-14,1.1686,1.0942,0.0744
2024-10-11,1.0817,1.0756,0.0061
2024-10-10,0.894,1.074,-0.18
2024-10-09,0.796,1.119,-0.3231
2024-10-08,0.9183,1.1998,-0.2815
2024-10-07,1.1555,1.2702,-0.1147
2024-10-04,1.4212,1.2988,0.1223
2024-10-03,1.3942,1.2683,0.1259
2024-10-02,1.6198,1.2368,0.3831
2024-10-01,1.8081,1.141,0.6671
2024-09-30,1.6533,0.9742,0.6791
2024-09-27,1.3789,0.8045,0.5744
2024-09-26,1.169,0.6608,0.5082
2024-09-25,1.0021,0.5338,0.4683
2024-09-24,1.0152,0.4167,0.5984
2024-09-23,0.6397,0.2671,0.3725
2024-09-20,0.2837,0.174,0.1097
2024-09-19,-0.442,0.1466,-0.5886
2024-09-18,-0.8559,0.2937,-1.1496
2024-09-17,-0.6158,0.5811,-1.1969
2024-09-16,-0.1175,0.8803,-0.9979
2024-09-13,0.4398,1.1298,-0.6899
2024-09-12,0.4297,1.3023,-0.8726
2024-09-11,0.5201,1.5204,-1.0003
2024-09-10,0.7342,1.7705,-1.0363
2024-09-09,1.2543,2.0295,-0.7753
2024-09-06,1.7068,2.2234,-0.5165
2024-09-05,1.9416,2.3525,-0.4108
2024-09-04,2.4493,2.4552,-0.0059
2024-09-03,3.0581,2.4567,0.6014
2024-08-30,3.0906,2.3063,0.7843
2024-08-29,2.9206,2.1102,0.8104
2024-08-28,2.6703,1.9077,0.7626
2024-08-27,2.5334,1.717,0.8164
2024-08-26,2.5174,1.5129,1.0045
2024-08-23,2.3826,1.2618,1.1209
2024-08-22,2.2879,0.9815,1.3063
2024-08-21,1.9171,0.655,1.2621
2024-08-20,1.545,0.3394,1.2055
2024-08-19,1.1238,0.038,1.0857
2024-08-16,0.5749,-0.2334,0.8083
2024-08-15,0.0488,-0.4355,0.4843
2024-08-14,-0.6924,-0.5565,-0.1359
2024-08-13,-1.2191,-0.5225,-0.6965
2024-08-12,-1.715,-0.3484,-1.3666
2024-08-09,-2.0243,-0.0068,-2.0176
2024-08-08,-1.9617,0.4976,-2.4593
2024-08-07,-1.9556,1.1125,-3.0681
2024-08-06,-1.2893,1.8795,-3.1688
2024-08-05,-0.2577,2.6717,-2.9294
2024-08-02,1.6929,3.404,-1.7111
2024-08-01,2.1223,3.8318,-1.7095
2024-07-31,2.1098,4.2592,-2.1494
2024-07-30,2.3605,4.7965,-2.4361
2024-07-29,2.8744,5.4056,-2.5311
2024-07-26,3.7149,6.0384,-2.3234
2024-07-25,4.5571,6.6192,-2.0621
