Date,SMA
2025-03-13,231.684
2025-03-12,234.03
2025-03-11,236.449
2025-03-10,238.8685
2025-03-07,239.807
2025-03-06,240.8915
2025-03-05,241.942
2025-03-04,242.866
2025-03-03,243.5105
2025-02-28,243.4565
2025-02-27,243.4525
2025-02-26,242.6315
2025-02-25,241.0185
2025-02-24,239.1755
2025-02-21,237.9175
2025-02-20,236.4256
2025-02-19,234.7595
2025-02-18,232.9936
2025-02-14,231.5524
2025-02-13,232.1193
2025-02-12,232.2686
2025-02-11,232.5349
2025-02-10,232.7746
2025-02-07,232.195
2025-02-06,231.4139
2025-02-05,230.7601
2025-02-04,229.887
2025-02-03,229.5624
2025-01-31,229.7747
2025-01-30,228.7917
2025-01-29,228.3892
2025-01-28,228.4521
2025-01-27,228.7198
2025-01-24,230.3171
2025-01-23,232.0292
2025-01-22,233.8512
2025-01-21,236.3005
2025-01-17,238.2344
2025-01-16,239.914
2025-01-15,241.4214
2025-01-14,243.1789
2025-01-13,245.4844
2025-01-10,247.9477
2025-01-08,249.494
2025-01-07,250.7776
2025-01-06,251.283
2025-01-03,251.6017
2025-01-02,252.4807
2024-12-31,252.5956
2024-12-30,252.1511
2024-12-27,251.7101
2024-12-26,250.6173
2024-12-24,249.5954
2024-12-23,248.7363
2024-12-20,247.4438
2024-12-19,246.9308
2024-12-18,246.5802
2024-12-17,245.6522
2024-12-16,244.6264
2024-12-13,243.5555
2024-12-12,242.2565
2024-12-11,241.0153
2024-12-10,239.5539
2024-12-09,238.0126
2024-12-06,236.6371
2024-12-05,235.2362
2024-12-04,233.6449
2024-12-03,232.0577
2024-12-02,230.6033
2024-11-29,229.5174
2024-11-27,228.5395
2024-11-26,227.4952
2024-11-25,226.6181
2024-11-22,225.9728
2024-11-21,225.8839
2024-11-20,225.4342
2024-11-19,224.8653
2024-11-18,224.323
2024-11-15,223.8732
2024-11-14,223.306
2024-11-13,223.7123
2024-11-12,224.5458
2024-11-11,225.3743
2024-11-08,226.1797
2024-11-07,226.4112
2024-11-06,226.9455
2024-11-05,228.09
2024-11-04,229.2963
2024-11-01,230.6394
2024-10-31,232.1575
2024-10-30,232.5656
2024-10-29,232.4649
2024-10-28,232.5158
2024-10-25,232.0548
2024-10-24,232.0109
2024-10-23,231.7913
2024-10-22,230.9083
2024-10-21,229.9519
2024-10-18,228.9591
2024-10-17,228.1329
2024-10-16,227.3057
2024-10-15,226.736
2024-10-14,226.3279
2024-10-11,226.4616
2024-10-10,226.3778
2024-10-09,226.3299
2024-10-08,226.2999
2024-10-07,226.7335
2024-10-04,227.0169
2024-10-03,227.2234
2024-10-02,227.2084
2024-10-01,226.3763
2024-09-30,225.0023
2024-09-27,223.6553
2024-09-26,223.1683
2024-09-25,222.6894
2024-09-24,222.3426
2024-09-23,221.3723
2024-09-20,220.7217
2024-09-19,220.121
2024-09-18,219.7853
2024-09-17,220.1954
2024-09-16,221.4726
2024-09-13,222.8346
2024-09-12,223.4851
2024-09-11,224.0259
2024-09-10,224.4789
2024-09-09,225.2612
2024-09-06,225.744
2024-09-05,226.1272
2024-09-04,226.6156
2024-09-03,227.0257
2024-08-30,226.7434
2024-08-29,226.1177
2024-08-28,225.5689
2024-08-27,224.8355
2024-08-26,224.1386
2024-08-23,223.0719
2024-08-22,221.6947
2024-08-21,220.2055
2024-08-20,218.2241
2024-08-19,216.1581
2024-08-16,213.4782
2024-08-15,212.9771
2024-08-14,212.9285
2024-08-13,212.9899
2024-08-12,212.9828
2024-08-09,213.0467
2024-08-08,213.7045
2024-08-07,214.2846
2024-08-06,215.9889
2024-08-05,217.889
2024-08-02,220.6717
2024-08-01,221.2368
2024-07-31,221.8258
2024-07-30,222.6241
2024-07-29,224.1998
2024-07-26,226.1453
2024-07-25,227.1639
2024-07-24,228.4057
2024-07-23,228.934
2024-07-22,229.2893
2024-07-19,229.2972
2024-07-18,228.9813
2024-07-17,227.9567
2024-07-16,226.6312
2024-07-15,224.3478
2024-07-12,222.2837
2024-07-11,220.8655
2024-07-10,218.8832
2024-07-09,216.8749
2024-07-08,214.8606
2024-07-05,213.1962
2024-07-03,212.4268
2024-07-02,212.1866
2024-07-01,211.9095
2024-06-28,212.0849
2024-06-27,211.9823
2024-06-26,211.2527
2024-06-25,209.4737
2024-06-24,208.2528
2024-06-21,206.9502
2024-06-20,205.4846
2024-06-18,203.6378
2024-06-17,201.3499
2024-06-14,199.3098
2024-06-13,197.0763
2024-06-12,194.6863
2024-06-11,192.9162
2024-06-10,192.7029
2024-06-07,191.8976
2024-06-06,191.5319
2024-06-05,191.191
2024-06-04,190.7614
2024-06-03,190.2322
2024-05-31,189.8943
2024-05-30,189.7977
2024-05-29,189.5136
2024-05-28,189.3043
2024-05-24,188.6988
2024-05-23,188.3082
2024-05-22,187.4442
2024-05-21,186.4809
2024-05-20,185.6946
2024-05-17,184.975
2024-05-16,184.6641
2024-05-15,182.8506
2024-05-14,181.0007
2024-05-13,179.5639
2024-05-10,178.3379
2024-05-09,176.8178
2024-05-08,175.5204
2024-05-07,173.8971
2024-05-06,172.0956
2024-05-03,170.4196
2024-05-02,168.3857
2024-05-01,167.9398
2024-04-30,167.9428
2024-04-29,167.7855
2024-04-26,167.9836
2024-04-25,168.4196
2024-04-24,168.3016
2024-04-23,168.5265
2024-04-22,168.86
2024-04-19,169.2098
2024-04-18,169.5462
2024-04-17,169.7712
2024-04-16,169.6896
2024-04-15,169.4238
2024-04-12,169.0088
2024-04-11,168.7589
2024-04-10,168.965
2024-04-09,169.0844
2024-04-08,169.27
2024-04-05,169.5418
2024-04-04,170.2842
2024-04-03,170.8247
2024-04-02,171.3771
2024-04-01,172.023
2024-03-28,172.021
2024-03-27,172.1365
2024-03-26,172.3714
2024-03-25,172.6849
2024-03-22,172.9213
2024-03-21,172.6466
2024-03-20,171.8603
2024-03-19,171.3965
2024-03-18,171.0402
2024-03-15,171.0979
2024-03-14,171.932
2024-03-13,172.764
2024-03-12,173.7335
2024-03-11,174.5247
2024-03-08,175.4503
2024-03-07,177.0438
2024-03-06,178.4701
2024-03-05,179.553
2024-03-04,180.6508
2024-03-01,181.3744
2024-02-29,181.7725
2024-02-28,182.1756
2024-02-27,182.5
2024-02-26,183.2281
2024-02-23,183.8661
2024-02-22,184.2776
2024-02-21,184.9662
2024-02-20,185.4322
2024-02-16,186.0415
2024-02-15,185.6644
2024-02-14,185.6845
2024-02-13,185.8321
2024-02-12,186.3225
2024-02-09,186.6561
2024-02-08,187.1909
2024-02-07,187.7709
2024-02-06,188.246
2024-02-05,189.0572
2024-02-02,189.4697
2024-02-01,190.4111
2024-01-31,190.6203
2024-01-30,190.0467
2024-01-29,189.174
2024-01-26,188.5825
2024-01-25,187.8141
2024-01-24,186.7336
2024-01-23,185.5905
2024-01-22,184.3047
2024-01-19,183.2798
2024-01-18,182.5661
2024-01-17,182.3802
2024-01-16,182.9647
2024-01-12,184.1317
2024-01-11,184.9349
2024-01-10,185.5264
2024-01-09,186.4468
2024-01-08,187.5661
2024-01-05,188.9593
2024-01-04,190.4414
2024-01-03,191.834
2024-01-02,193.0139
2023-12-29,194.0457
2023-12-28,194.4553
2023-12-27,194.5497
2023-12-26,194.6084
2023-12-22,194.5587
2023-12-21,194.4613
2023-12-20,194.2157
2023-12-19,193.9722
2023-12-18,193.3807
2023-12-15,192.7734
2023-12-14,192.0577
2023-12-13,191.2446
2023-12-12,190.8281
2023-12-11,190.5
2023-12-08,190.1829
2023-12-07,189.8519
2023-12-06,189.6392
2023-12-05,189.337
2023-12-04,189.3052
2023-12-01,189.332
2023-11-30,189.2565
2023-11-29,189.0582
2023-11-28,188.7401
2023-11-27,188.3464
2023-11-24,187.755
2023-11-22,186.9453
2023-11-21,186.0135
2023-11-20,184.7749
2023-11-17,183.4094
2023-11-16,181.7956
2023-11-15,180.3766
2023-11-14,178.6803
2023-11-13,176.8346
2023-11-10,175.143
2023-11-09,173.4258
2023-11-08,172.1759
2023-11-07,171.1365
2023-11-06,170.528
2023-11-03,169.9849
2023-11-02,170.0912
2023-11-01,170.1428
2023-10-31,170.5975
2023-10-30,171.3217
2023-10-27,172.0891
2023-10-26,173.5296
2023-10-25,174.4925
2023-10-24,175.12
2023-10-23,175.6213
2023-10-20,176.207
2023-10-19,176.0571
2023-10-18,175.8338
2023-10-17,175.388
2023-10-16,174.9522
2023-10-13,174.4032
2023-10-12,173.47
2023-10-11,172.4048
2023-10-10,171.8508
2023-10-09,171.5252
2023-10-06,171.2661
2023-10-05,171.3525
