Date,EMA
2025-03-13,202.7223
2025-03-12,203.735
2025-03-11,204.405
2025-03-10,206.7394
2025-03-07,209.2149
2025-03-06,211.3759
2025-03-05,212.9262
2025-03-04,214.732
2025-03-03,217.9813
2025-02-28,219.01
2025-02-27,221.3123
2025-02-26,221.9705
2025-02-25,223.5329
2025-02-24,226.178
2025-02-21,228.1175
2025-02-20,229.1925
2025-02-19,230.1742
2025-02-18,231.2084
2025-02-14,231.7392
2025-02-13,232.3035
2025-02-12,233.0709
2025-02-11,233.6511
2025-02-10,234.0358
2025-02-07,234.8115
2025-02-06,235.3252
2025-02-05,234.7286
2025-02-04,234.2194
2025-02-03,233.1548
2025-01-31,232.9537
2025-01-30,232.1656
2025-01-29,231.0602
2025-01-28,229.2924
2025-01-27,228.1818
2025-01-24,228.62
2025-01-23,227.3134
2025-01-22,225.8052
2025-01-21,224.4242
2025-01-17,223.4295
2025-01-16,222.8939
2025-01-15,222.5547
2025-01-14,222.4935
2025-01-13,222.9499
2025-01-10,224.0365
2025-01-08,224.6091
2025-01-07,224.9256
2025-01-06,224.2646
2025-01-03,223.7056
2025-01-02,223.9724
2024-12-31,224.404
2024-12-30,224.7238
2024-12-27,225.7602
2024-12-26,225.7958
2024-12-24,225.1949
2024-12-23,224.8071
2024-12-20,224.762
2024-12-19,225.8558
2024-12-18,226.066
2024-12-17,225.0207
2024-12-16,223.383
2024-12-13,221.8615
2024-12-12,220.4085
2024-12-11,218.3148
2024-12-10,216.5159
2024-12-09,214.3883
2024-12-06,211.539
2024-12-05,209.4922
2024-12-04,207.5949
2024-12-03,205.7359
2024-12-02,204.7195
2024-11-29,203.5549
2024-11-27,203.0494
2024-11-26,202.1759
2024-11-25,202.2372
2024-11-22,202.8943
2024-11-21,203.9264
2024-11-20,204.0234
2024-11-19,204.2553
2024-11-18,205.3498
2024-11-15,205.6164
2024-11-14,205.3622
2024-11-13,203.4072
2024-11-12,202.0755
2024-11-11,200.6767
2024-11-08,198.9381
2024-11-07,196.5422
2024-11-06,194.1204
2024-11-05,192.8117
2024-11-04,192.0942
2024-11-01,191.1263
2024-10-31,189.3766
2024-10-30,189.1247
2024-10-29,187.8869
2024-10-28,187.7328
2024-10-25,187.3257
2024-10-24,187.2092
2024-10-23,187.6445
2024-10-22,187.3767
2024-10-21,187.1604
2024-10-18,186.9627
2024-10-17,186.9211
2024-10-16,186.6324
2024-10-15,186.5396
2024-10-14,186.2973
2024-10-11,185.5234
2024-10-10,185.2774
2024-10-09,184.8657
2024-10-08,185.3204
2024-10-07,186.0771
2024-10-04,186.772
2024-10-03,186.9991
2024-10-02,187.8778
2024-10-01,188.6418
2024-09-30,189.4733
2024-09-27,189.9918
2024-09-26,189.8389
2024-09-25,188.8453
2024-09-24,187.7554
2024-09-23,186.3077
2024-09-20,185.1227
2024-09-19,183.9877
2024-09-18,182.6428
2024-09-17,181.7967
2024-09-16,180.6738
2024-09-13,179.648
2024-09-12,178.0142
2024-09-11,176.5062
2024-09-10,175.7087
2024-09-09,175.3129
2024-09-06,175.4868
2024-09-05,175.0972
2024-09-04,175.1188
2024-09-03,175.2608
2024-08-30,174.7521
2024-08-29,175.1904
2024-08-28,175.6282
2024-08-27,176.0589
2024-08-26,176.4831
2024-08-23,176.4349
2024-08-22,176.2338
2024-08-21,175.0902
2024-08-20,174.0169
2024-08-19,173.1496
2024-08-16,172.1517
2024-08-15,171.0654
2024-08-14,170.2221
2024-08-13,169.8026
2024-08-12,170.2454
2024-08-09,170.7133
2024-08-08,171.6718
2024-08-07,173.1178
2024-08-06,174.5773
2024-08-05,177.4367
2024-08-02,182.5981
2024-08-01,186.1199
2024-07-31,185.4166
2024-07-30,185.4981
2024-07-29,185.671
2024-07-26,186.0779
2024-07-25,187.3418
2024-07-24,188.3267
2024-07-23,189.4659
2024-07-22,190.6584
2024-07-19,191.9158
2024-07-18,194.3104
2024-07-17,195.3594
2024-07-16,196.2504
2024-07-15,196.3971
2024-07-12,196.8053
2024-07-11,197.251
2024-07-10,196.6201
2024-07-09,195.8701
2024-07-08,195.0857
2024-07-05,193.9847
2024-07-03,192.948
2024-07-02,191.3942
2024-07-01,190.0862
2024-06-28,189.3298
2024-06-27,187.4631
2024-06-26,185.7872
2024-06-25,185.5354
2024-06-24,185.2522
2024-06-21,184.346
2024-06-20,183.5784
2024-06-18,183.727
2024-06-17,183.7252
2024-06-14,183.993
2024-06-13,184.1959
2024-06-12,183.775
2024-06-11,182.8328
2024-06-10,181.8934
2024-06-07,181.4097
2024-06-06,180.6341
2024-06-05,180.3873
2024-06-04,180.4511
2024-06-03,181.0758
2024-05-31,181.826
2024-05-30,182.6095
2024-05-29,182.8983
2024-05-28,183.1646
2024-05-24,183.8834
2024-05-23,184.3797
2024-05-22,184.5397
2024-05-21,184.6862
2024-05-20,185.2165
2024-05-17,185.4113
2024-05-16,185.7783
2024-05-15,185.8179
2024-05-14,185.7841
2024-05-13,186.2205
2024-05-10,185.8251
2024-05-09,185.084
2024-05-08,184.2405
2024-05-07,183.5295
2024-05-06,182.3316
2024-05-03,181.4541
2024-05-02,180.2239
2024-05-01,180.0848
2024-04-30,179.7403
2024-04-29,179.4404
2024-04-26,178.705
2024-04-25,178.9072
2024-04-24,180.9577
2024-04-23,181.1838
2024-04-22,181.8735
2024-04-19,182.9699
2024-04-18,183.9098
2024-04-17,184.452
2024-04-16,184.4836
2024-04-15,184.7533
2024-04-12,184.1596
2024-04-11,183.3684
2024-04-10,182.6191
2024-04-09,182.5867
2024-04-08,181.5526
2024-04-05,180.3643
2024-04-04,179.9164
2024-04-03,179.0089
2024-04-02,178.8109
2024-04-01,178.7533
2024-03-28,178.3007
2024-03-27,177.8853
2024-03-26,177.4421
2024-03-25,176.8403
2024-03-22,176.5804
