Date,MACD,MACD_Signal,MACD_Hist
2025-03-13,-8.0668,-6.6442,-1.4226
2025-03-12,-8.0875,-6.2886,-1.7989
2025-03-11,-8.2563,-5.8388,-2.4174
2025-03-10,-7.6573,-5.2345,-2.4228
2025-03-07,-6.9544,-4.6288,-2.3256
2025-03-06,-6.3522,-4.0474,-2.3049
2025-03-05,-5.9912,-3.4712,-2.52
2025-03-04,-5.4839,-2.8412,-2.6427
2025-03-03,-4.2792,-2.1805,-2.0987
2025-02-28,-4.0275,-1.6558,-2.3717
2025-02-27,-3.169,-1.0629,-2.1061
2025-02-26,-3.0147,-0.5364,-2.4784
2025-02-25,-2.4268,0.0832,-2.51
2025-02-24,-1.304,0.7107,-2.0148
2025-02-21,-0.4446,1.2144,-1.659
2025-02-20,0.0652,1.6292,-1.564
2025-02-19,0.5627,2.0202,-1.4575
2025-02-18,1.1137,2.3845,-1.2709
2025-02-14,1.4648,2.7023,-1.2375
2025-02-13,1.8528,3.0116,-1.1588
2025-02-12,2.3568,3.3013,-0.9445
2025-02-11,2.8019,3.5375,-0.7355
2025-02-10,3.1806,3.7213,-0.5407
2025-02-07,3.7577,3.8565,-0.0988
2025-02-06,4.2406,3.8812,0.3593
2025-02-05,4.2342,3.7914,0.4428
2025-02-04,4.2652,3.6807,0.5845
2025-02-03,4.0402,3.5346,0.5056
2025-01-31,4.1982,3.4082,0.7901
2025-01-30,4.0904,3.2106,0.8798
2025-01-29,3.8281,2.9907,0.8374
2025-01-28,3.2468,2.7813,0.4655
2025-01-27,2.9387,2.665,0.2737
2025-01-24,3.3253,2.5966,0.7287
2025-01-23,2.9264,2.4144,0.512
2025-01-22,2.4153,2.2864,0.129
2025-01-21,1.9397,2.2541,-0.3144
2025-01-17,1.6221,2.3327,-0.7106
2025-01-16,1.5047,2.5104,-1.0057
2025-01-15,1.4776,2.7618,-1.2842
2025-01-14,1.5834,3.0829,-1.4995
2025-01-13,1.9387,3.4577,-1.5191
2025-01-10,2.6063,3.8375,-1.2312
2025-01-08,3.0743,4.1453,-1.071
2025-01-07,3.4514,4.413,-0.9617
2025-01-06,3.4023,4.6535,-1.2511
2025-01-03,3.4043,4.9663,-1.562
2025-01-02,3.7925,5.3568,-1.5642
2024-12-31,4.2813,5.7478,-1.4665
2024-12-30,4.7476,6.1144,-1.3668
2024-12-27,5.5696,6.4562,-0.8866
2024-12-26,5.9736,6.6778,-0.7042
2024-12-24,6.1071,6.8539,-0.7467
2024-12-23,6.3475,7.0405,-0.693
2024-12-20,6.7586,7.2138,-0.4552
2024-12-19,7.7113,7.3276,0.3837
2024-12-18,8.299,7.2317,1.0673
2024-12-17,8.3317,6.9648,1.3669
2024-12-16,8.0873,6.6231,1.4642
2024-12-13,7.8777,6.2571,1.6206
2024-12-12,7.6819,5.8519,1.83
2024-12-11,7.1746,5.3944,1.7802
2024-12-10,6.771,4.9494,1.8216
2024-12-09,6.1899,4.494,1.6959
2024-12-06,5.2442,4.07,1.1742
2024-12-05,4.6186,3.7765,0.8421
2024-12-04,4.0298,3.5659,0.4639
2024-12-03,3.4305,3.45,-0.0195
2024-12-02,3.1909,3.4548,-0.2639
2024-11-29,2.8744,3.5208,-0.6464
2024-11-27,2.8491,3.6824,-0.8333
2024-11-26,2.6582,3.8908,-1.2325
2024-11-25,2.8932,4.1989,-1.3057
2024-11-22,3.4178,4.5253,-1.1075
2024-11-21,4.1425,4.8022,-0.6597
2024-11-20,4.4737,4.9671,-0.4934
2024-11-19,4.8834,5.0905,-0.2071
2024-11-18,5.7068,5.1422,0.5645
2024-11-15,6.184,5.0011,1.1829
2024-11-14,6.4375,4.7054,1.7321
2024-11-13,5.9138,4.2724,1.6415
2024-11-12,5.6441,3.862,1.7821
2024-11-11,5.3227,3.4165,1.9062
2024-11-08,4.8217,2.9399,1.8818
2024-11-07,3.988,2.4694,1.5185
2024-11-06,3.098,2.0898,1.0082
2024-11-05,2.6734,1.8378,0.8356
2024-11-04,2.4969,1.6289,0.868
2024-11-01,2.1934,1.4119,0.7816
