Date,SMA
2025-03-13,201.9187
2025-03-12,203.9372
2025-03-11,205.3592
2025-03-10,207.1322
2025-03-07,209.3172
2025-03-06,211.6962
2025-03-05,213.7337
2025-03-04,215.8057
2025-03-03,218.6767
2025-02-28,220.2615
2025-02-27,222.2815
2025-02-26,223.4925
2025-02-25,225.1905
2025-02-24,227.082
2025-02-21,228.587
2025-02-20,230.06
2025-02-19,231.2845
2025-02-18,232.6335
2025-02-14,233.1575
2025-02-13,233.8875
2025-02-12,234.7165
2025-02-11,235.572
2025-02-10,235.809
2025-02-07,235.3755
2025-02-06,235.5755
2025-02-05,235.1845
2025-02-04,234.6845
2025-02-03,233.6735
2025-01-31,232.8515
2025-01-30,231.6435
2025-01-29,230.2125
2025-01-28,228.355
2025-01-27,226.732
2025-01-24,226.257
2025-01-23,225.1255
2025-01-22,224.5055
2025-01-21,223.9815
2025-01-17,223.342
2025-01-16,222.961
2025-01-15,222.8155
2025-01-14,222.5385
2025-01-13,223.0545
2025-01-10,224.0985
2025-01-08,224.6465
2025-01-07,224.829
2025-01-06,224.023
2025-01-03,223.836
2025-01-02,224.6625
2024-12-31,225.6985
2024-12-30,226.425
2024-12-27,227.259
2024-12-26,227.682
2024-12-24,227.473
2024-12-23,227.388
2024-12-20,227.608
2024-12-19,227.699
2024-12-18,227.011
2024-12-17,225.53
2024-12-16,223.322
2024-12-13,221.295
2024-12-12,219.038
2024-12-11,216.753
2024-12-10,214.302
2024-12-09,211.621
2024-12-06,208.725
2024-12-05,206.999
2024-12-04,205.494
2024-12-03,203.831
2024-12-02,203.215
2024-11-29,202.895
2024-11-27,203.728
2024-11-26,203.97
2024-11-25,204.617
2024-11-22,205.539
2024-11-21,206.686
2024-11-20,207.081
2024-11-19,206.784
2024-11-18,206.455
2024-11-15,205.685
2024-11-14,204.909
2024-11-13,202.544
2024-11-12,201.0735
2024-11-11,199.0945
2024-11-08,197.201
2024-11-07,195.014
2024-11-06,192.795
2024-11-05,191.679
2024-11-04,190.91
2024-11-01,190.07
2024-10-31,188.885
2024-10-30,188.656
2024-10-29,187.8915
2024-10-28,187.7965
2024-10-25,187.818
2024-10-24,187.696
2024-10-23,187.884
2024-10-22,187.281
2024-10-21,186.6375
2024-10-18,186.1275
2024-10-17,185.9875
2024-10-16,185.47
2024-10-15,185.209
2024-10-14,184.936
2024-10-11,184.672
2024-10-10,185.077
2024-10-09,185.795
2024-10-08,186.888
2024-10-07,188.1235
2024-10-04,188.9925
2024-10-03,189.4405
