Date,EMA
2025-03-13,388.7067
2025-03-12,389.9404
2025-03-11,391.4938
2025-03-10,394.2702
2025-03-07,396.1435
2025-03-06,396.9932
2025-03-05,397.5962
2025-03-04,399.4309
2025-03-03,402.9933
2025-02-28,403.9207
2025-02-27,406.4241
2025-02-26,407.5706
2025-02-25,409.6952
2025-02-24,411.6052
2025-02-21,412.2931
2025-02-20,411.1726
2025-02-19,410.2577
2025-02-18,410.9665
2025-02-14,411.8062
2025-02-13,412.8791
2025-02-12,414.3656
2025-02-11,416.1358
2025-02-10,417.7605
2025-02-07,418.8437
2025-02-06,419.5531
2025-02-05,420.9703
2025-02-04,423.0683
2025-02-03,425.5583
2025-01-31,428.8422
2025-01-30,431.2192
2025-01-29,434.1709
2025-01-28,431.5864
2025-01-27,431.109
2025-01-24,432.8741
2025-01-23,430.3409
2025-01-22,427.9455
2025-01-21,426.0025
2025-01-17,425.26
2025-01-16,423.4909
2025-01-15,422.524
2025-01-14,423.4637
2025-01-13,424.9049
2025-01-10,427.2374
2025-01-08,428.0047
2025-01-07,429.2019
2025-01-06,429.4365
2025-01-03,429.9451
2025-01-02,432.1014
2024-12-31,433.7499
2024-12-30,435.6384
2024-12-27,437.9554
2024-12-26,438.8933
2024-12-24,439.046
2024-12-23,440.2152
2024-12-20,441.1806
2024-12-19,443.1657
2024-12-18,443.7045
2024-12-17,442.2118
2024-12-16,440.4561
2024-12-13,439.1398
2024-12-12,437.2726
2024-12-11,434.8407
2024-12-10,432.9906
2024-12-09,430.654
2024-12-06,428.1951
2024-12-05,425.2564
2024-12-04,422.636
2024-12-03,420.5177
2024-12-02,418.6362
2024-11-29,418.1708
2024-11-27,417.9301
2024-11-26,416.5237
2024-11-25,416.0291
2024-11-22,415.6917
2024-11-21,416.8352
2024-11-20,416.4285
2024-11-19,416.7003
2024-11-18,417.8647
2024-11-15,418.8984
2024-11-14,419.0661
2024-11-13,418.1245
2024-11-12,417.7174
2024-11-11,417.9702
2024-11-08,417.3351
2024-11-07,415.9381
2024-11-06,415.1248
2024-11-05,416.0919
2024-11-04,418.1702
2024-11-01,420.3938
2024-10-31,423.2865
2024-10-30,425.4165
2024-10-29,423.1339
2024-10-28,422.4323
2024-10-25,420.7658
2024-10-24,419.8124
2024-10-23,418.9648
2024-10-22,416.7048
2024-10-21,416.6794
2024-10-18,417.1729
2024-10-17,417.5504
2024-10-16,416.8563
2024-10-15,417.5995
2024-10-14,416.9562
2024-10-11,417.146
2024-10-10,417.7399
2024-10-09,418.6672
2024-10-08,419.6601
2024-10-07,421.9714
2024-10-04,423.6674
2024-10-03,425.2447
2024-10-02,427.3074
2024-10-01,428.7328
2024-09-30,429.1759
2024-09-27,429.7705
2024-09-26,429.7646
2024-09-25,428.9683
2024-09-24,429.1582
2024-09-23,428.6887
2024-09-20,427.8315
2024-09-19,426.1331
2024-09-18,423.1709
2024-09-17,420.9282
2024-09-16,417.0295
2024-09-13,414.3959
2024-09-12,412.2339
2024-09-11,410.1482
2024-09-10,409.3275
2024-09-09,409.9403
2024-09-06,410.9017
2024-09-05,411.674
2024-09-04,412.9365
2024-09-03,414.8581
2024-08-30,414.5508
2024-08-29,414.6864
2024-08-28,414.9982
2024-08-27,415.3926
2024-08-26,416.3217
2024-08-23,416.6816
2024-08-22,416.9852
2024-08-21,415.7229
2024-08-20,414.2432
2024-08-19,412.9603
2024-08-16,411.9988
2024-08-15,410.4606
2024-08-14,408.7577
2024-08-13,407.9462
2024-08-12,408.1056
2024-08-09,408.8593
2024-08-08,410.45
2024-08-07,412.7455
2024-08-06,414.1824
2024-08-05,417.8464
