Date,MACD,MACD_Signal,MACD_Hist
2025-03-13,-8.9979,-8.0351,-0.9628
2025-03-12,-8.9933,-7.7944,-1.1988
2025-03-11,-8.8357,-7.4947,-1.341
2025-03-10,-8.1039,-7.1595,-0.9444
2025-03-07,-7.7484,-6.9234,-0.825
2025-03-06,-7.8417,-6.7171,-1.1246
2025-03-05,-8.0463,-6.4359,-1.6104
2025-03-04,-7.6875,-6.0333,-1.6542
2025-03-03,-6.5129,-5.6198,-0.8931
2025-02-28,-6.4889,-5.3965,-1.0924
2025-02-27,-5.7363,-5.1234,-0.6129
2025-02-26,-5.5688,-4.9702,-0.5986
2025-02-25,-4.9427,-4.8205,-0.1222
2025-02-24,-4.3863,-4.79,0.4037
2025-02-21,-4.3667,-4.8909,0.5242
2025-02-20,-5.1767,-5.022,-0.1548
2025-02-19,-5.9272,-4.9833,-0.9439
2025-02-18,-5.9616,-4.7473,-1.2143
2025-02-14,-5.931,-4.4438,-1.4873
2025-02-13,-5.7844,-4.072,-1.7125
2025-02-12,-5.4329,-3.6438,-1.789
2025-02-11,-4.9265,-3.1966,-1.7299
2025-02-10,-4.4554,-2.7641,-1.6913
2025-02-07,-4.203,-2.3413,-1.8617
2025-02-06,-4.101,-1.8758,-2.2252
2025-02-05,-3.6593,-1.3195,-2.3398
2025-02-04,-2.8746,-0.7346,-2.14
2025-02-03,-1.8653,-0.1996,-1.6657
2025-01-31,-0.4396,0.2168,-0.6564
2025-01-30,0.6366,0.3809,0.2556
2025-01-29,2.0222,0.317,1.7051
2025-01-28,0.9242,-0.1092,1.0335
2025-01-27,0.738,-0.3676,1.1056
2025-01-24,1.5656,-0.644,2.2096
2025-01-23,0.4499,-1.1964,1.6463
2025-01-22,-0.6594,-1.608,0.9486
2025-01-21,-1.6146,-1.8451,0.2305
2025-01-17,-2.0624,-1.9028,-0.1597
2025-01-16,-2.9988,-1.8628,-1.136
2025-01-15,-3.6026,-1.5788,-2.0237
2025-01-14,-3.3489,-1.0729,-2.276
2025-01-13,-2.8422,-0.5039,-2.3383
2025-01-10,-1.8925,0.0807,-1.9732
2025-01-08,-1.6076,0.574,-2.1815
2025-01-07,-1.1015,1.1194,-2.2209
2025-01-06,-1.0026,1.6746,-2.6772
2025-01-03,-0.7601,2.3439,-3.104
2025-01-02,0.2636,3.1199,-2.8563
2024-12-31,1.1142,3.8339,-2.7197
2024-12-30,2.1258,4.5139,-2.388
2024-12-27,3.3901,5.1109,-1.7207
2024-12-26,4.0867,5.541,-1.4543
2024-12-24,4.4611,5.9046,-1.4435
2024-12-23,5.3243,6.2655,-0.9412
2024-12-20,6.1362,6.5008,-0.3646
2024-12-19,7.4521,6.592,0.8601
2024-12-18,8.1585,6.3769,1.7815
2024-12-17,7.9557,5.9316,2.0242
2024-12-16,7.6128,5.4255,2.1873
2024-12-13,7.4443,4.8787,2.5656
2024-12-12,7.0027,4.2373,2.7654
2024-12-11,6.2685,3.5459,2.7226
2024-12-10,5.7545,2.8653,2.8892
2024-12-09,4.9801,2.143,2.8371
2024-12-06,4.1012,1.4337,2.6675
2024-12-05,2.9502,0.7668,2.1833
2024-12-04,1.8833,0.221,1.6623
2024-12-03,0.991,-0.1946,1.1856
2024-12-02,0.1619,-0.4909,0.6528
2024-11-29,-0.0584,-0.6542,0.5958
2024-11-27,-0.1883,-0.8031,0.6148
2024-11-26,-0.8609,-0.9568,0.0958
2024-11-25,-1.1461,-0.9808,-0.1653
2024-11-22,-1.3708,-0.9394,-0.4314
2024-11-21,-0.925,-0.8316,-0.0934
2024-11-20,-1.1691,-0.8082,-0.3609
2024-11-19,-1.1114,-0.718,-0.3934
2024-11-18,-0.6403,-0.6197,-0.0207
2024-11-15,-0.2082,-0.6145,0.4063
2024-11-14,-0.1557,-0.716,0.5604
2024-11-13,-0.6116,-0.8561,0.2445
2024-11-12,-0.844,-0.9173,0.0733
2024-11-11,-0.7844,-0.9356,0.1512
2024-11-08,-1.1296,-0.9734,-0.1562
2024-11-07,-1.8381,-0.9344,-0.9038
2024-11-06,-2.3061,-0.7084,-1.5976
2024-11-05,-1.9713,-0.309,-1.6623
2024-11-04,-1.1045,0.1066,-1.2111
2024-11-01,-0.1272,0.4093,-0.5366
2024-10-31,1.2021,0.5435,0.6586
2024-10-30,2.2374,0.3788,1.8585
2024-10-29,1.2876,-0.0858,1.3734
2024-10-28,1.0134,-0.4291,1.4425
2024-10-25,0.278,-0.7898,1.0677
2024-10-24,-0.1683,-1.0567,0.8884
2024-10-23,-0.5899,-1.2788,0.6889
2024-10-22,-1.6803,-1.451,-0.2293
2024-10-21,-1.7936,-1.3937,-0.3999
2024-10-18,-1.6718,-1.2937,-0.378
2024-10-17,-1.5954,-1.1992,-0.3962
2024-10-16,-2.0041,-1.1002,-0.9039
2024-10-15,-1.7675,-0.8742,-0.8933
2024-10-14,-2.1506,-0.6509,-1.4997
2024-10-11,-2.1611,-0.2759,-1.8852
2024-10-10,-1.9773,0.1954,-2.1727
2024-10-09,-1.6217,0.7385,-2.3602
2024-10-08,-1.2085,1.3286,-2.5371
2024-10-07,-0.1606,1.9628,-2.1235
2024-10-04,0.662,2.4937,-1.8317
2024-10-03,1.4752,2.9516,-1.4764
2024-10-02,2.5535,3.3207,-0.7672
2024-10-01,3.3907,3.5125,-0.1218
2024-09-30,3.8147,3.543,0.2717
2024-09-27,4.3247,3.4751,0.8497
2024-09-26,4.5771,3.2627,1.3144
2024-09-25,4.4711,2.934,1.5371
2024-09-24,4.8037,2.5498,2.2539
2024-09-23,4.8369,1.9863,2.8506
2024-09-20,4.679,1.2737,3.4054
2024-09-19,4.1114,0.4223,3.6891
2024-09-18,2.9209,-0.5,3.4209
2024-09-17,1.9902,-1.3552,3.3454
2024-09-16,0.243,-2.1915,2.4346
2024-09-13,-1.014,-2.8002,1.7862
2024-09-12,-2.1195,-3.2467,1.1272
2024-09-11,-3.2445,-3.5285,0.284
2024-09-10,-3.8413,-3.5995,-0.2418
2024-09-09,-3.8068,-3.5391,-0.2678
2024-09-06,-3.6101,-3.4721,-0.138
2024-09-05,-3.4911,-3.4376,-0.0534
2024-09-04,-3.1423,-3.4243,0.2819
2024-09-03,-2.4781,-3.4948,1.0167
2024-08-30,-2.8112,-3.7489,0.9378
2024-08-29,-2.9611,-3.9834,1.0222
2024-08-28,-3.0426,-4.2389,1.1964
2024-08-27,-3.0962,-4.538,1.4419
2024-08-26,-2.9147,-4.8985,1.9839
2024-08-23,-2.9961,-5.3945,2.3984
2024-08-22,-3.1187,-5.9941,2.8753
2024-08-21,-3.9784,-6.7129,2.7345
2024-08-20,-4.9888,-7.3965,2.4077
2024-08-19,-5.9651,-7.9985,2.0334
2024-08-16,-6.8466,-8.5068,1.6603
2024-08-15,-8.0383,-8.9219,0.8835
2024-08-14,-9.3614,-9.1428,-0.2187
2024-08-13,-10.3322,-9.0881,-1.2441
2024-08-12,-10.8935,-8.7771,-2.1164
2024-08-09,-11.1953,-8.248,-2.9473
2024-08-08,-11.111,-7.5112,-3.5999
2024-08-07,-10.6809,-6.6112,-4.0697
2024-08-06,-10.6036,-5.5938,-5.0099
2024-08-05,-9.4766,-4.3413,-5.1354
2024-08-02,-6.804,-3.0574,-3.7466
2024-08-01,-5.6545,-2.1208,-3.5337
2024-07-31,-4.9449,-1.2374,-3.7075
2024-07-30,-3.9377,-0.3105,-3.6273
2024-07-29,-3.3264,0.5963,-3.9228
2024-07-26,-2.8885,1.577,-4.4655
2024-07-25,-0.9331,2.6934,-3.6265
2024-07-24,0.5032,3.6,-3.0968
2024-07-23,1.1498,4.3742,-3.2244
2024-07-22,1.6096,5.1804,-3.5707
2024-07-19,2.3862,6.073,-3.6868
2024-07-18,4.2225,6.9947,-2.7723
2024-07-17,5.3669,7.6878,-2.3209
2024-07-16,6.9267,8.268,-1.3413
2024-07-15,7.6395,8.6033,-0.9639
2024-07-12,8.5313,8.8443,-0.313
2024-07-11,9.4417,8.9226,0.5191
2024-07-10,9.5902,8.7928,0.7974
2024-07-09,9.8184,8.5934,1.225
2024-07-08,9.3818,8.2872,1.0946
2024-07-05,8.7336,8.0135,0.7201
2024-07-03,8.4818,7.8335,0.6483
2024-07-02,8.1808,7.6714,0.5094
2024-07-01,8.1827,7.5441,0.6386
2024-06-28,8.5257,7.3844,1.1413
2024-06-27,8.3931,7.0991,1.294
2024-06-26,8.1923,6.7756,1.4167
2024-06-25,8.1384,6.4214,1.7169
2024-06-24,8.027,5.9922,2.0348
2024-06-21,7.6112,5.4835,2.1277
2024-06-20,7.2148,4.9516,2.2632
2024-06-18,6.7131,4.3858,2.3273
2024-06-17,5.6306,3.804,1.8266
2024-06-14,4.8877,3.3473,1.5403
2024-06-13,4.3047,2.9623,1.3424
2024-06-12,3.2373,2.6266,0.6106
2024-06-11,2.3876,2.474,-0.0864
2024-06-10,2.265,2.4956,-0.2306
2024-06-07,2.1541,2.5532,-0.3992
2024-06-06,1.8293,2.653,-0.8237
2024-06-05,1.6098,2.8589,-1.2491
2024-06-04,1.9339,3.1712,-1.2373
2024-06-03,2.864,3.4806,-0.6165
2024-05-31,3.6963,3.6347,0.0616
2024-05-30,4.5808,3.6193,0.9615
2024-05-29,4.8787,3.3789,1.4998
2024-05-28,5.0474,3.004,2.0434
2024-05-24,4.7904,2.4931,2.2973
2024-05-23,4.6397,1.9188,2.7209
2024-05-22,3.7948,1.2386,2.5561
2024-05-21,2.9526,0.5996,2.3531
2024-05-20,2.1654,0.0113,2.1541
2024-05-17,1.7987,-0.5272,2.3259
2024-05-16,1.0686,-1.1087,2.1773
2024-05-15,0.1962,-1.653,1.8492
2024-05-14,-0.5254,-2.1153,1.5899
2024-05-13,-0.7698,-2.5128,1.743
2024-05-10,-1.6758,-2.9486,1.2728
2024-05-09,-2.295,-3.2667,0.9718
2024-05-08,-2.8129,-3.5097,0.6968
2024-05-07,-3.1905,-3.6839,0.4934
2024-05-06,-4.2819,-3.8072,-0.4746
2024-05-03,-5.0164,-3.6886,-1.3278
2024-05-02,-5.2261,-3.3566,-1.8695
2024-05-01,-4.9509,-2.8893,-2.0616
2024-04-30,-4.0173,-2.3738,-1.6435
2024-04-29,-3.6646,-1.963,-1.7017
2024-04-26,-3.5411,-1.5376,-2.0036
2024-04-25,-4.0313,-1.0367,-2.9946
2024-04-24,-2.7652,-0.288,-2.4772
2024-04-23,-2.6783,0.3313,-3.0095
2024-04-22,-1.9903,1.0837,-3.0739
2024-04-19,-0.6634,1.8521,-2.5155
2024-04-18,0.6408,2.481,-1.8402
2024-04-17,1.6291,2.9411,-1.312
2024-04-16,2.1979,3.2691,-1.0712
2024-04-15,3.1627,3.5369,-0.3742
2024-04-12,3.1324,3.6304,-0.498
2024-04-11,3.306,3.7549,-0.449
2024-04-10,3.3005,3.8672,-0.5666
2024-04-09,3.6124,4.0088,-0.3964
2024-04-08,3.5284,4.1079,-0.5795
2024-04-05,3.4983,4.2528,-0.7545
2024-04-04,3.9304,4.4414,-0.5111
2024-04-03,3.9214,4.5692,-0.6478
2024-04-02,4.3845,4.7311,-0.3466
2024-04-01,4.8734,4.8178,0.0556
2024-03-28,5.0385,4.8039,0.2346
2024-03-27,5.478,4.7452,0.7328
2024-03-26,5.6077,4.562,1.0457
2024-03-25,5.5735,4.3006,1.2729
2024-03-22,5.4861,3.9824,1.5037
2024-03-21,4.844,3.6065,1.2375
2024-03-20,3.9409,3.2971,0.6438
2024-03-19,3.5222,3.1362,0.386
2024-03-18,3.3579,3.0397,0.3182
2024-03-15,3.461,2.9601,0.5009
2024-03-14,3.0331,2.8349,0.1982
2024-03-13,2.3468,2.7853,-0.4386
2024-03-12,1.6529,2.895,-1.2421
2024-03-11,1.8022,3.2055,-1.4033
2024-03-08,2.3567,3.5563,-1.1997
2024-03-07,2.6057,3.8562,-1.2506
2024-03-06,3.0715,4.1689,-1.0974
2024-03-05,3.9397,4.4432,-0.5035
2024-03-04,3.88,4.5691,-0.6891
2024-03-01,3.7999,4.7414,-0.9415
2024-02-29,3.8616,4.9768,-1.1152
2024-02-28,4.1501,5.2556,-1.1055
2024-02-27,4.5048,5.532,-1.0272
2024-02-26,4.9108,5.7888,-0.878
2024-02-23,5.0074,6.0083,-1.0009
2024-02-22,4.6319,6.2585,-1.6266
2024-02-21,4.6391,6.6651,-2.0261
2024-02-20,5.5932,7.1716,-1.5784
2024-02-16,6.4196,7.5662,-1.1467
2024-02-15,6.9039,7.8529,-0.949
2024-02-14,7.4034,8.0901,-0.6867
2024-02-13,7.9405,8.2618,-0.3214
2024-02-12,8.9015,8.3422,0.5593
2024-02-09,8.4236,8.2023,0.2212
2024-02-08,8.2262,8.147,0.0792
2024-02-07,7.9756,8.1272,-0.1516
2024-02-06,8.2065,8.1651,0.0414
2024-02-05,8.5393,8.1548,0.3845
2024-02-02,8.4342,8.0587,0.3756
2024-02-01,8.7918,7.9648,0.827
2024-01-31,9.32,7.758,1.562
2024-01-30,9.3412,7.3675,1.9737
2024-01-29,8.6978,6.8741,1.8236
2024-01-26,8.3754,6.4182,1.9572
2024-01-25,8.0125,5.9289,2.0836
2024-01-24,7.4379,5.408,2.0298
2024-01-23,6.8766,4.9006,1.9761
2024-01-22,6.6443,4.4065,2.2378
2024-01-19,5.8204,3.8471,1.9733
2024-01-18,5.1139,3.3538,1.7601
2024-01-17,4.5452,2.9137,1.6315
2024-01-16,4.1305,2.5059,1.6246
2024-01-12,2.9682,2.0997,0.8684
2024-01-11,2.2655,1.8826,0.3829
2024-01-10,1.2843,1.7869,-0.5026
2024-01-09,0.9846,1.9126,-0.928
2024-01-08,1.0275,2.1446,-1.1171
2024-01-05,1.3406,2.4238,-1.0832
2024-01-04,1.7541,2.6946,-0.9405
2024-01-03,2.0854,2.9298,-0.8443
2024-01-02,2.6449,3.1409,-0.496
2023-12-29,2.8312,3.2648,-0.4336
2023-12-28,2.8121,3.3732,-0.5611
2023-12-27,2.8103,3.5135,-0.7032
2023-12-26,2.9366,3.6893,-0.7528
2023-12-22,2.9229,3.8775,-0.9546
2023-12-21,2.9961,4.1162,-1.1201
2023-12-20,3.1589,4.3962,-1.2373
2023-12-19,3.0747,4.7055,-1.6308
2023-12-18,3.2765,5.1132,-1.8368
2023-12-15,3.6921,5.5724,-1.8803
2023-12-14,4.4312,6.0425,-1.6113
