Date,SMA
2025-03-13,388.176
2025-03-12,389.987
2025-03-11,391.493
2025-03-10,393.703
2025-03-07,395.97
2025-03-06,398.4715
2025-03-05,400.5725
2025-03-04,402.3453
2025-03-03,404.7241
2025-02-28,405.5399
2025-02-27,406.8934
2025-02-26,407.4068
2025-02-25,408.4883
2025-02-24,409.6669
2025-02-21,410.381
2025-02-20,409.9651
2025-02-19,409.589
2025-02-18,410.0686
2025-02-14,410.4279
2025-02-13,411.5446
2025-02-12,412.7193
2025-02-11,416.6594
2025-02-10,419.1505
2025-02-07,420.1784
2025-02-06,423.0407
2025-02-05,425.8351
2025-02-04,428.3511
2025-02-03,430.0991
2025-01-31,432.3432
2025-01-30,433.3127
2025-01-29,433.3487
2025-01-28,430.4664
2025-01-27,428.5338
2025-01-24,428.5956
2025-01-23,426.43
2025-01-22,425.1325
2025-01-21,424.1784
2025-01-17,423.2683
2025-01-16,422.4145
2025-01-15,422.1555
2025-01-14,422.8471
2025-01-13,424.5228
2025-01-10,426.9025
2025-01-08,427.9025
2025-01-07,429.2279
2025-01-06,429.6381
2025-01-03,430.9973
2025-01-02,434.0153
2024-12-31,436.5583
2024-12-30,438.671
2024-12-27,440.9041
2024-12-26,442.3522
2024-12-24,442.8482
2024-12-23,443.8203
2024-12-20,444.4051
2024-12-19,445.3223
2024-12-18,444.953
2024-12-17,443.1277
2024-12-16,441.0149
2024-12-13,438.45
2024-12-12,435.6211
2024-12-11,433.2254
2024-12-10,430.7838
2024-12-09,428.1879
2024-12-06,425.0707
2024-12-05,422.7952
2024-12-04,420.6109
2024-12-03,418.5402
2024-12-02,416.9631
2024-11-29,416.7044
2024-11-27,417.1093
2024-11-26,416.6791
2024-11-25,416.4621
2024-11-22,416.7902
2024-11-21,418.0977
2024-11-20,418.191
2024-11-19,417.7478
2024-11-18,417.2757
2024-11-15,416.7707
2024-11-14,415.694
2024-11-13,414.7339
2024-11-12,416.3071
2024-11-11,417.2782
2024-11-08,418.1885
2024-11-07,418.332
2024-11-06,418.7348
2024-11-05,420.571
2024-11-04,421.5789
2024-11-01,422.2084
2024-10-31,423.0182
2024-10-30,423.7154
2024-10-29,421.4978
2024-10-28,420.9181
2024-10-25,419.5351
2024-10-24,418.4769
2024-10-23,417.4709
2024-10-22,415.9774
2024-10-21,415.2214
2024-10-18,415.2095
2024-10-17,415.319
2024-10-16,414.8479
2024-10-15,415.586
2024-10-14,416.2105
2024-10-11,417.2503
2024-10-10,418.7826
2024-10-09,420.7607
2024-10-08,422.1521
2024-10-07,424.3533
2024-10-04,426.174
2024-10-03,428.0644
2024-10-02,430.4145
2024-10-01,431.6516
2024-09-30,432.8248
2024-09-27,433.0629
2024-09-26,432.4957
2024-09-25,431.3229
2024-09-24,429.8956
2024-09-23,427.4255
2024-09-20,424.7323
2024-09-19,421.9275
2024-09-18,418.5805
2024-09-17,415.6831
2024-09-16,413.46
2024-09-13,411.966
2024-09-12,410.8818
2024-09-11,410.0422
2024-09-10,409.7792
2024-09-09,410.5925
2024-09-06,411.5626
2024-09-05,413.0865
2024-09-04,414.7254
2024-09-03,416.2981
2024-08-30,416.4027
2024-08-29,416.9007
2024-08-28,417.3847
2024-08-27,417.3033
2024-08-26,416.9051
2024-08-23,415.9062
2024-08-22,414.5448
2024-08-21,412.2903
2024-08-20,410.6801
2024-08-19,408.4479
2024-08-16,405.4119
2024-08-15,404.5311
2024-08-14,404.5546
2024-08-13,405.1209
2024-08-12,406.9234
2024-08-09,409.3613
2024-08-08,410.7701
2024-08-07,413.3909
2024-08-06,416.5541
2024-08-05,420.9183
2024-08-02,426.1499
2024-08-01,428.1991
2024-07-31,430.541
2024-07-30,432.7378
2024-07-29,435.3725
2024-07-26,437.532
2024-07-25,441.1236
2024-07-24,444.5219
2024-07-23,446.587
2024-07-22,448.8841
2024-07-19,451.3459
2024-07-18,453.9816
2024-07-17,455.3586
2024-07-16,456.4135
2024-07-15,455.8607
2024-07-12,455.8378
2024-07-11,455.6241
2024-07-10,454.2341
2024-07-09,452.9446
2024-07-08,451.2345
2024-07-05,449.3286
2024-07-03,448.0052
2024-07-02,447.1616
2024-07-01,446.1063
2024-06-28,445.0737
2024-06-27,443.8588
2024-06-26,442.183
2024-06-25,439.8441
2024-06-24,437.5026
2024-06-21,435.1562
2024-06-20,432.8327
2024-06-18,430.0001
2024-06-17,426.2941
2024-06-14,423.6037
2024-06-13,421.4636
2024-06-12,419.8182
2024-06-11,418.8607
2024-06-10,419.2738
2024-06-07,419.5214
2024-06-06,420.1945
2024-06-05,420.799
2024-06-04,421.6953
2024-06-03,422.4688
2024-05-31,423.1662
2024-05-30,423.6683
2024-05-29,423.032
2024-05-28,421.6004
2024-05-24,420.3716
2024-05-23,418.8816
2024-05-22,416.5823
2024-05-21,414.3311
2024-05-20,413.0487
2024-05-17,411.8384
2024-05-16,409.7533
2024-05-15,407.2832
2024-05-14,404.6997
2024-05-13,403.6546
2024-05-10,402.3882
2024-05-09,402.3123
2024-05-08,400.6708
2024-05-07,400.8087
2024-05-06,399.7741
2024-05-03,398.9126
2024-05-02,399.0863
2024-05-01,400.3735
2024-04-30,402.819
2024-04-29,404.1171
2024-04-26,406.2361
2024-04-25,407.4151
2024-04-24,410.5702
2024-04-23,411.8237
2024-04-22,414.0275
2024-04-19,416.5176
2024-04-18,418.1036
2024-04-17,419.5288
2024-04-16,419.7749
2024-04-15,420.3248
2024-04-12,420.0618
2024-04-11,419.7551
2024-04-10,419.6181
2024-04-09,419.9576
2024-04-08,419.8385
2024-04-05,420.2881
2024-04-04,421.2627
2024-04-03,420.9659
2024-04-02,420.7773
2024-04-01,420.1958
2024-03-28,419.7333
2024-03-27,419.6618
2024-03-26,419.0326
2024-03-25,417.2471
2024-03-22,415.1153
2024-03-21,412.9576
2024-03-20,410.6045
2024-03-19,408.7158
2024-03-18,408.3317
2024-03-15,408.2513
2024-03-14,407.4553
2024-03-13,406.3041
2024-03-12,405.319
2024-03-11,405.3558
2024-03-08,406.1195
2024-03-07,406.8847
2024-03-06,407.2886
2024-03-05,407.0107
2024-03-04,405.9468
2024-03-01,405.4029
2024-02-29,405.0922
2024-02-28,405.0357
2024-02-27,404.6411
2024-02-26,405.8119
2024-02-23,406.1132
2024-02-22,405.8773
2024-02-21,405.5304
2024-02-20,406.0235
2024-02-16,406.6101
2024-02-15,406.1249
2024-02-14,405.4258
2024-02-13,405.2418
2024-02-12,405.9669
2024-02-09,404.531
2024-02-08,403.4531
2024-02-07,402.4892
2024-02-06,401.9047
2024-02-05,400.9012
2024-02-02,399.9224
2024-02-01,399.1249
2024-01-31,398.1234
2024-01-30,396.2431
2024-01-29,394.4005
2024-01-26,392.3627
2024-01-25,390.5428
2024-01-24,387.7739
2024-01-23,384.8485
2024-01-22,382.2282
2024-01-19,379.1522
2024-01-18,376.6661
2024-01-17,374.4163
2024-01-16,373.0175
2024-01-12,371.268
2024-01-11,370.2654
2024-01-10,369.0459
2024-01-09,368.9102
2024-01-08,369.0757
2024-01-05,369.3986
2024-01-04,369.996
2024-01-03,370.0777
